Size,Time,Instructions
160000,7398875,419709
160500,6549834,435504
161000,6258125,421154
161500,13014583,438044
162000,5523958,424345
162500,6172541,424199
163000,6102208,417189
163500,5464959,409335
164000,6532792,410070
164500,7352792,412153
165000,22326916,429179
165500,7740958,421747
166000,42698625,422500
166500,5621083,422714
167000,6315292,429779
167500,5973792,408140
168000,7860250,423936
168500,7331917,418007
169000,6956416,414279
169500,5837208,418330
170000,5756292,421517
170500,5637333,434678
171000,7243084,425543
171500,6411167,416746
172000,5706625,431660
172500,5451542,438650
173000,7996541,423494
173500,90002250,433068
174000,5626041,415321
174500,79688125,408549
175000,58467417,412701
175500,8779125,427700
176000,6642417,421202
176500,5175709,423064
177000,6282958,424697
177500,7137708,420054
178000,5502083,428209
178500,7440584,427168
179000,5988250,423538
179500,5093125,414519
180000,7014916,429896
180500,7355250,414767
181000,6322292,431560
181500,5986958,418710
182000,10126791,424257
182500,5798375,433657
183000,5772541,413302
183500,189040083,417849
184000,47180708,410433
184500,36250250,406600
185000,6073000,426459
185500,14034292,422040
186000,7777709,412545
186500,8451833,440894
187000,7540500,418080
187500,5485333,417022
188000,6752750,420232
188500,16150458,420865
189000,5154959,419172
189500,5819541,427527
190000,5204500,404766
190500,6930667,418036
191000,1175625,432324
191500,5432542,419242
192000,6264459,415567
192500,8283167,416442
193000,3748583,435748
193500,39650375,434215
194000,75513959,431997
194500,59455917,414015
195000,6671167,413410
195500,8294334,417610
196000,6482292,428666
196500,8082708,420695
197000,7747958,409611
197500,5536250,424235
198000,223709,417122
198500,5626083,416093
199000,5292250,423973
199500,6497125,419165
200000,6229708,424118
200500,5926708,417154
201000,6793000,422712
201500,5517750,420415
202000,19680791,431116
202500,60080292,422118
203000,57540584,423043
203500,67122375,423469
204000,7051583,424939
204500,7591416,418540
205000,6272291,425646
205500,8405541,423302
206000,5758333,418571
206500,6194625,416981
207000,6168875,419657
207500,7311041,431096
208000,5922042,414138
208500,5646291,435204
209000,5344250,415011
209500,6234459,424932
210000,7427166,416925
210500,5740291,440356
211000,194917958,438791
211500,1609541,410635
212000,79352833,423711
212500,73511083,426709
213000,6193292,422364
213500,7306250,427177
214000,8809000,417434
214500,7961917,435815
215000,7396333,423592
215500,6167958,439684
216000,6066709,423818
216500,6310917,425764
217000,8015208,410849
217500,7578917,427004
218000,17814584,422812
218500,5352833,431608
219000,5535708,416078
219500,16387709,413156
220000,20578375,424308
220500,49810209,425246
221000,74180084,435002
221500,51109417,420211
222000,5491375,413951
222500,6081084,439684
223000,5360625,425626
223500,6780458,422058
224000,5922292,419344
224500,5803458,435322
225000,5973083,429653
225500,6835459,440261
226000,5769917,435392
226500,5827125,429320
227000,5740083,427248
227500,6177000,439461
228000,17068541,408225
228500,6139750,417025
229000,25675208,421634
229500,70176625,428565
230000,62682750,416778
230500,39179208,415541
231000,5563875,422665
231500,6868000,423687
232000,10036958,422463
232500,7096625,417843
233000,5928000,410721
233500,6472917,431870
234000,5653375,426376
234500,7076917,421781
235000,6050042,424796
235500,5827500,432299
236000,1485000,419157
236500,6921625,414186
237000,8391000,415000
237500,6015625,433694
238000,5193250,430556
238500,136863667,421281
239000,24610125,420945
239500,38238584,423705
240000,7954125,415082
240500,6564667,427046
241000,7357709,402899
241500,8368916,434022
242000,6481584,438631
242500,5727375,421547
243000,6009375,413558
243500,6414458,427068
244000,6344625,432999
244500,6606250,424920
245000,6105833,423645
245500,6734125,430120
246000,6395875,436180
246500,5528875,430367
247000,5400750,418174
247500,6454417,428668
248000,5975500,411789
248500,6297291,423209
249000,5309208,436542
249500,6278416,419229
250000,8324709,422633
250500,65688042,425591
251000,57596000,419213
251500,54072459,424268
252000,6294834,421745
252500,6743292,429910
253000,7465250,415119
253500,7603917,412199
254000,7094166,408920
