Size,Time,Instructions
15800,792834,1195944
15850,1327167,1202994
15900,1966500,1274270
15950,993125,1267694
16000,621917,1272844
16050,711542,1265510
16100,851084,1254873
16150,883917,1264248
16200,486458,1266250
16250,408084,1276138
16300,1278125,1239386
16350,807083,1267196
16400,894375,1279635
16450,1012917,1262476
16500,1258625,1239586
16550,668208,1262546
16600,2069208,1244940
16650,2075467667,1256200
16700,368708,1240232
16750,3288458,1283959
16800,598042,1208682
16850,921541,1215961
16900,1142167,1250352
16950,748875,1243234
17000,423583,1243635
17050,604542,1242374
17100,1255291,1250716
17150,856334,1211525
17200,1306417,1224762
17250,808666,1222883
17300,1251291,1241974
17350,1030375,1245426
17400,725125,1239301
17450,927625,1246886
17500,2182834,1240053
17550,6763000,1213642
17600,6676542,1242677
17650,14328625,1226664
17700,3628000,1236544
17750,934333,1231366
17800,855416,1227140
17850,614292,1225477
17900,1458583,1199698
17950,1156625,1203432
18000,289167,1249044
18050,1185541,1256937
18100,934500,1221820
18150,1045458,1227294
18200,995000,1223398
18250,645208,1256475
18300,898167,1217552
18350,902959,1224646
18400,1459500,1222830
18450,46057041,1228532
18500,16247875,1238898
18550,1423333,1215244
18600,907833,1234706
18650,936625,1265782
18700,985292,1260700
18750,903084,1256532
18800,747459,1252607
18850,1093000,1254320
18900,1538333,1249290
18950,1164792,1237935
19000,1075417,1157094
19050,620959,1197228
19100,762042,1156316
19150,1005250,1182066
19200,1416792,1186961
19250,1152709,1189140
19300,2469625,1174784
19350,15908042,1201189
19400,10221375,1203842
19450,9252417,1204106
19500,878583,1247015
19550,964084,1265674
19600,2117500,1235390
19650,831375,1238288
19700,844084,1225456
19750,1419667,1200241
19800,805875,1177212
19850,693791,1183170
19900,1084250,1190081
19950,691209,1189846
20000,762250,1175078
20050,1115333,1213738
20100,1087667,1186624
20150,727916,1150145
20200,24192583,1172534
20250,3460041,1215428
20300,1584792,1191634
20350,5610292,1196560
20400,844750,1192594
20450,783583,1188474
20500,474167,1195453
20550,728834,1194362
20600,905500,1205748
20650,1350250,1199430
20700,1092542,1190578
20750,812083,1175620
20800,943125,1205968
20850,925250,1193392
20900,665042,1217351
20950,945250,1164502
21000,976834,1197606
21050,1647708,1213530
21100,408875,1215816
21150,1308041,1249920
21200,6598708,1249534
21250,9791625,1278036
21300,1218958,1261484
21350,987292,1282050
21400,1137500,1267263
21450,680458,1242860
21500,1937583,1229078
21550,1036750,1237730
21600,869292,1213860
21650,1297417,1252714
21700,807583,1244807
21750,484084,1243168
21800,977708,1235458
21850,1059000,1251574
21900,1512542,1252678
21950,703667,1229575
22000,605542,1214922
22050,1525833,1252836
22100,1917542,1233466
22150,8626625,1233286
22200,1438041,1262197
22250,1010209,1239480
22300,696416,1231532
22350,806500,1227487
22400,1186958,1175688
22450,1285792,1250392
22500,1021125,1249496
22550,1087666,1234508
22600,1724250,1252524
22650,759625,1251868
22700,649208,1270251
22750,1033583,1258202
22800,1231417,1217270
22850,437084,1267288
22900,1114750,1256884
22950,8705625,1257600
23000,828916,1254807
23050,13462750,1269464
23100,4259208,1251287
23150,1061500,1246383
23200,1223708,1259306
23250,1224167,1240659
23300,1311917,1262904
23350,1741250,1268873
23400,3238833,1219779
23450,998250,1249656
23500,844541,1257686
23550,950208,1258969
23600,784084,1241990
23650,825417,1245158
23700,1181917,1232346
23750,3258333,1236703
23800,1007125,1238298
23850,2418166,1244546
23900,2324916,1255844
23950,9885583,1240118
24000,2305000,1242922
24050,793167,1251930
24100,1072792,1244646
24150,1169042,1247003
24200,1413333,1231266
24250,817084,1224220
24300,1162958,1223980
24350,2398125,1238455
24400,1637666,1211016
24450,1093417,1227764
24500,1631542,1246479
24550,874000,1253392
24600,612833,1230942
24650,1456125,1262038
24700,7789666,1249972
24750,9578833,1240312
24800,1132458,1252684
24850,5990916,1259587
24900,693083,1256190
24950,2571208,1221872
25000,884250,1225017
25050,1647583,1226720
25100,1024833,1203318
25150,1053792,1217370
25200,1469709,1247042
25250,1186458,1228672
25300,780625,1244976
25350,543875,1241430
25400,753458,1267522
25450,671625,1187579
25500,695709,1209236
25550,884208,1255882
25600,463916,1238122
25650,10142959,1232722
25700,27998208,1233687
25750,297375,1237156
25800,1484708,1239360
25850,680792,1286724
25900,681125,1232504
25950,969834,1226656
26000,833417,1263188
26050,802083,1239818
26100,747500,1246601
26150,1299625,1237070
26200,674417,1265151
26250,2823958,1208184
26300,918583,1249335
26350,1079875,1250668
26400,1218584,1254284
26450,1604375,1256196
26500,875125,1259010
26550,3095917,1251180
26600,9943500,1285831
26650,6195917,1294126
26700,1090917,1287290
26750,1142583,1299552
26800,1508625,1292822
26850,1994167,1281150
26900,783416,1286050
26950,1302291,1270821
27000,1308834,1271276
27050,2407042,1302010
27100,897416,1280916
27150,1562417,1282168
27200,726542,1290125
27250,777542,1275798
27300,892083,1345809
27350,1173084,1274025
27400,1942000,1272368
27450,6045292,1309864
27500,12097833,1289964
27550,11132166,1327660
27600,1093417,1272046
27650,1158916,1299218
27700,1089792,1289712
27750,1772584,1305962
27800,1469792,1285236
27850,1280625,1295234
27900,928750,1286314
27950,1240625,1292624
28000,757166,1249578
28050,2985709,1240114
28100,1071833,1262337
28150,1438625,1263626
28200,1219041,1295630
28250,1305917,1321566
28300,1363500,1325503
28350,5751875,1299440
28400,12410375,1302812
28450,27738750,1274625
28500,851917,1254040
28550,973792,1299404
28600,851500,1307318
28650,2838667,1283016
28700,989041,1286728
28750,1449875,1296420
28800,1100792,1275690
28850,1189416,1266401
28900,969917,1260990
28950,1335084,1303340
29000,1738625,1304840
29050,1041542,1294650
29100,892042,1293274
29150,964084,1298574
29200,951375,1302352
29250,11341583,1281600
29300,4055125,1257362
