Size,Time,Instructions
1113,738518,21293
1116,1521045,21348
1119,1007162,20138
1122,950488,21873
1125,844899,21356
1128,1050865,21860
1131,842652,21886
1134,798264,20844
1137,15303504,20159
1140,933649,20705
1143,747529,21895
1146,922900,20663
1149,940808,20663
1152,830256,20684
1155,839369,21860
1158,876580,19579
1161,753539,21873
1164,748106,20684
1167,872303,21873
1170,720145,21328
1173,862446,19530
1176,683922,21307
1179,1067967,21307
1182,1164445,21811
1185,711370,19551
1188,860740,21278
1191,766332,20635
1194,704556,21328
1197,1508951,21832
1200,852962,21832
1203,790297,20908
1206,1775161,21837
1209,752242,21866
1212,1426191,20635
1215,3195196,22370
1218,1244806,20622
1221,1332442,21853
1224,970831,21853
1227,1181194,22357
1230,1031807,22357
1233,720296,22602
1236,1022171,21160
1239,1001091,20601
1242,1029316,22336
1245,1484681,22336
1248,857530,21819
1251,741896,28255
1254,1017869,21181
1257,967381,20622
1260,726257,22357
1263,810450,21756
1266,802506,22328
1269,773884,21818
1272,736106,21818
1275,927361,21175
1278,989061,22351
1281,1108204,20070
1284,14368320,21860
1287,950843,20650
1290,1493852,22385
1293,756729,22386
1296,919151,22343
1299,1904630,21154
1302,879080,21858
1305,1114218,21887
1308,1406184,20110
1311,828361,21900
1314,959192,21215
1317,865812,21215
1320,1022686,43032
1323,7075737,41017
1326,4626547,42122
1329,968076,42794
1332,7497174,43298
1335,50944650,41563
1338,2307409,42752
1341,6985450,42109
1344,639989357,42781
1347,4062554,21853
1350,185705848,22357
1353,20191086,22006
1356,784099,22336
1359,1645822,20601
1362,793814,21832
1365,972598,21832
1368,819221,21832
1371,749269,21839
1374,1378324,20650
1377,961514,20650
1380,892084,21881
1383,14308626,22525
1386,772984,21816
1389,867752,21845
1392,1075628,21845
1395,700522,22349
1398,781703,22349
1401,944631,21839
1404,659576,22385
1407,1227039,21196
1410,1012201,21196
1413,753553,22019
1416,12385695,21845
1419,680518,21160
1422,784772,21832
1425,710188,22336
1428,648051,21865
1431,3720089,22398
1434,1337005,21894
1437,1084838,22398
1440,1154598,21881
1443,1395199,22572
1446,876094,21831
1449,781039,21188
1452,819005,22364
1455,754358,20083
1458,883740,21852
1461,753714,21852
1464,762464,21852
1467,702696,21881
1470,694848,22385
1473,741935,22412
1476,710471,22335
1479,824053,21860
1482,766992,20083
1485,982277,21852
1488,832241,21167
1491,791465,22356
1494,876766,21860
1497,630175,22323
1500,843894,20042
1503,812909,21833
1506,1211160,22281
1509,1170385,22281
1512,860226,20084
1515,820601,20084
1518,734003,21315
1521,851916,21819
1524,836294,21819
1527,1084870,21819
1530,881643,20630
1533,842610,22484
1536,843871,21188
1539,951184,22364
1542,1005560,22364
1545,1000780,21175
1548,807233,21847
1551,828130,28123
1554,926955,20669
1557,890895,21845
1560,939872,21845
1563,921093,22006
1566,729936,21837
1569,1018400,21299
1572,812239,21341
1575,865122,20656
1578,884982,21328
1581,923685,19551
1584,997051,21361
1587,733193,21894
1590,759632,21894
1593,10727534,21293
1596,1056936,21852
1599,731221,21852
1602,718763,21327
1605,10257877,21356
1608,742892,21860
1611,802999,21369
1614,829873,21873
1617,888610,20684
1620,931113,21230
1623,11033207,22420
1626,892610,21188
1629,939042,22377
1632,904855,21860
1635,1722724,21839
1638,4822285,20104
1641,5216518,22398
1644,17429530,21209
1647,1196087,21881
1650,1056016,21881
1653,922014,20076
1656,867717,22357
1659,1080764,22357
1662,735247,20622
1665,755055,22370
1668,714161,21853
1671,707287,21874
1674,904562,22378
1677,679074,20643
1680,2851300,20643
1683,738709,21811
1686,762914,21818
1689,779771,21818
1692,2547474,22364
1695,757424,21175
1698,722015,21175
1701,839545,21175
1704,720942,21839
1707,545837,22385
1710,687156,22385
1713,811913,22006
1716,762011,20601
1719,820065,21147
1722,656821,22336
1725,1415400,22323
1728,738077,21852
1731,659455,22385
1734,686827,21881
1737,864826,21196
1740,781904,21868
1743,670817,22327
1746,962749,20629
1749,729456,21175
1752,1030146,21847
1755,918996,20070
1758,827674,22356
1761,731826,21818
1764,911857,21839
1767,1027284,21196
1770,4964621,22372
1773,923899,21916
1776,1016484,22322
1779,850884,21847
1782,13554709,22351
1785,901308,21839
1788,783354,22343
1791,15319973,21154
1794,1378872,21782
1797,960303,21832
1800,804650,20055
1803,824268,21202
1806,674746,21811
1809,2530513,21811
1812,705216,21307
1815,799947,20118
1818,11510619,20118
1821,873665,21349
1824,820527,21349
1827,1562054,21853
1830,8381141,21853
1833,10846430,21510
1836,1163025,21340
1839,1227328,21369
1842,1235756,21369
1845,1129594,21873
1848,1463145,21873
1851,776166,21314
1854,33134524,21860
1857,1066147,20671
1860,773202,20671
1863,882209,22061
1866,731249,21887
1869,794708,21202
1872,743988,21874
1875,802651,22378
1878,783165,21858
1881,816341,22391
1884,815855,21887
1887,759380,22391
1890,750775,21874
1893,855576,22586
1896,751794,21811
1899,824083,21168
1902,726876,22344
1905,765603,20063
1908,975230,21853
1911,30775480,21832
1914,797245,21832
1917,767183,21861
1920,835969,22365
1923,810554,22413
1926,896319,22336
1929,807159,21840
1932,1433284,20063
1935,792800,21853
1938,2289201,21168
1941,799686,22357
1944,1036681,21840
1947,759337,22365
1950,1033447,20084
1953,807524,21231
1956,994955,22323
1959,748396,20588
1962,721645,21839
1965,841282,21196
1968,954792,21868
1971,779748,22372
1974,674982,20637
1977,834992,20637
1980,761920,21860
1983,909556,22407
1986,786858,21826
1989,841403,22351
1992,765445,22351
1995,1123383,21162
1998,1005803,20637
2001,1575720,21868
2004,933823,22372
2007,827944,22372
2010,965493,22372
2013,908555,21987
2016,898379,21173
2019,803048,22349
2022,1035929,22349
2025,1166923,21160
2028,826008,21832
2031,3158338,21709
2034,797073,21844
2037,938422,22398
2040,893950,21894
2043,922705,22538
2046,1616522,20062
2049,665627,21306
2052,781460,20642
2055,11608849,22377
2058,1486266,21860
2061,931101,22364
2064,1041472,22369
2067,9786112,21831
2070,6195383,21894
2073,895209,21916
2076,11577677,21831
2079,13874658,22335
2082,21145847,20621
2085,1057323,21167
2088,952304,22364
2091,14021475,20083
2094,729591,22356
2097,851503,22356
2100,923872,21769
2103,971427,20000
2106,692597,22281
2109,741416,20546
2112,746566,22294
2115,712854,21777
2118,726932,21315
2121,724416,21819
2124,873637,20084
2127,685983,20084
2130,692545,21832
2133,784875,21329
2136,664702,21252
2139,1547006,21798
2142,644605,20609
2145,763075,20609
2148,720117,20609
2151,787601,21798
2154,686646,22344
2157,638122,22344
2160,687808,21155
2163,691081,22034
2166,669508,20629
2169,3016271,21175
2172,10881908,22364
2175,775216,22351
2178,762334,21873
2181,612820,22406
2184,738972,21902
2187,815437,21217
2190,659136,21889
2193,686096,20802
2196,641326,20656
2199,640542,21202
2202,933150,21874
2205,2237543,20097
2208,3982064,22404
2211,4991599,21845
2214,703944,21845
2217,744941,21202
