Size,Time,Cycles,Instructions
10000,2067057875,39244206,131961613
20000,2070155333,42680348,152451080
30000,2061325042,44178092,159564552
40000,2059200542,45521222,161851573
50000,2072668625,46816287,162484493
60000,2068817500,48056308,161320828
70000,3290684958,49357286,162158516
80000,2063073875,50617241,161550900
90000,2075748583,51898331,161814351
100000,2048278959,53225310,163482357
110000,3275389000,56507483,174473795
120000,2044960125,57686958,171228260
130000,2076516292,42289975,177040847
140000,3291684875,60381374,176000437
150000,2070957416,42264456,176211489
160000,3281622167,62918949,175370753
170000,2076860458,42249057,175710997
180000,2038231917,65502630,176599896
190000,2075892667,42239008,175382953
200000,3287342000,68042326,176006216
210000,2064081708,42494314,183681881
220000,3287503875,70874199,181188304
230000,2074249666,42463543,182680357
240000,3290963500,73544793,184819030
250000,2072683250,42647751,188668566
260000,3278221375,76172697,187557870
270000,2065284333,42617972,187700735
280000,3289806792,78759526,188450922
290000,2050453875,42612427,187519088
300000,2060474000,42619668,187755870
310000,4749278834,82773825,190316924
320000,2045479708,42428602,181544784
330000,2052999000,42573442,186253513
340000,4745152542,86528839,187960044
350000,2070825166,42624381,187909026
360000,2049162333,42639962,188413969
370000,4752041834,90357070,188372071
380000,2061801000,42657483,188593388
390000,2058331042,42608548,187393019
400000,4723040333,94159040,187563348
410000,2075954542,42762735,191990148
420000,2061224208,42616570,187655186
430000,2078809167,42735404,191515826
440000,4750581042,99579534,193750183
450000,2063779666,42712805,190307902
460000,2062813333,42727592,191261945
470000,2073844042,42803783,193738166
480000,4734713542,104631783,192116737
490000,2072122959,42820325,193766769
500000,2061623167,42785418,193141301
510000,2073998583,42896917,196766458
520000,4734517167,109935978,193992938
530000,2080518500,42708309,190635265
540000,2047982375,42619206,187740846
550000,2062427250,42651985,188806191
560000,6485775375,115037867,193941264
570000,2072168291,42813986,194071205
580000,2068572459,42782560,193049855
590000,2041478083,42791420,193337806
600000,2055291375,42798953,193582638
610000,6470550625,121640794,197709259
620000,2073201750,42817931,193553572
630000,2069761458,42816228,194144078
640000,2053510209,42673701,189511946
650000,2055181250,42689007,190007947
660000,6462767208,127925664,193978665
670000,2081588875,42807097,193848755
680000,2073239750,42807751,193868572
690000,2071164500,42793563,193404544
700000,2058111375,42803894,193057151
710000,6497768583,134481116,196273338
720000,2069943291,42841201,194224165
730000,2078889542,42783465,193079270
740000,2046078500,42771428,192686617
750000,2065248208,42602229,187187646
760000,2064036958,42642362,188493416
770000,6491603875,141958606,189733086
780000,2094673208,42790362,193301989
790000,2059630375,42815468,194119368
800000,2046757958,42779006,192129039
810000,3266310083,42907171,197099704
820000,2078416333,42767764,192569001
830000,8569852208,149861789,193620670
840000,2078122458,42803569,193732657
850000,2071830625,42796371,193497260
860000,2050182042,42884854,195515977
870000,2067976875,42939407,198145946
880000,2053630625,42974375,199283856
890000,2072909917,42988062,199730137
900000,8581297958,158949088,198670644
910000,2074751084,43051811,201799069
920000,2073017750,42951375,197591591
930000,2072240250,42987893,199723166
940000,2057964000,42952705,198578115
950000,2081295792,43060901,202095960
960000,2059171542,42792801,193382699
970000,8586076417,167900544,195080353
980000,2067926083,42809436,193921875
990000,2063245667,42840050,193912693
1000000,2068620667,42804493,193761243
