Size,Time,Instructions
1440000,30255543,1281346
1445000,10397109,1281296
1450000,576787,1258123
1455000,11265619,1289580
1460000,12035941,1259649
1465000,10654193,1312922
1470000,12538370,1246612
1475000,9211533,1240891
1480000,9118350,1296494
1485000,11720564,1330708
1490000,11675452,1310723
1495000,12318856,1283996
1500000,26070856,1283364
1505000,14051344,1320778
1510000,10368810,1283495
1515000,12183781,1261215
1520000,439758,1263357
1525000,10649564,1300688
1530000,9956588,1279723
1535000,590187,1275563
1540000,504192,1281679
1545000,420115,1266644
1550000,33588201,1312768
1555000,6576048,1311278
1560000,24958830,1288541
1565000,12416356,1274581
1570000,313918121,1317830
1575000,490707,1279741
1580000,10940537,1286396
1585000,11679455,1263791
1590000,538211,1316381
1595000,12308426,1319865
1600000,12061206,1270127
1605000,11250645,1310454
1610000,29650581,1265678
1615000,12549736,1261546
1620000,519893,1253923
1625000,12722200,1295360
1630000,510079,1318993
1635000,473916,1272742
1640000,12283682,1331690
1645000,518226,1278802
1650000,479036,1287539
1655000,13046595,1301330
1660000,427318,1310817
1665000,10535505,1253611
1670000,427288,1304860
1675000,529069,1294926
1680000,11864268,1285880
1685000,473810,1318618
1690000,426006,1291790
1695000,12099533,1305774
1700000,12322400,1315082
1705000,722426,1279277
1710000,11584586,1288484
1715000,1596535,1301970
1720000,528579,1273443
1725000,13052402,1242140
1730000,666863083,1289330
1735000,522231,1301731
1740000,12666024,1267067
1745000,523108,1258706
1750000,12918417,1301124
1755000,12825657,1312886
1760000,12038698,1317351
1765000,523097,1303465
1770000,10354058,1320411
1775000,508333,1287429
1780000,6708954,1257724
1785000,13519716,1271809
1790000,486725,1295015
1795000,1287691,1263866
1800000,427901716,1327270
1805000,15749185,1300146
1810000,635087,1282347
1815000,15515778,1290041
1820000,41243747,1288896
1825000,624228,1256999
1830000,39282917,1282197
1835000,609471,1307542
1840000,1158115,1267336
1845000,13547629,1287417
1850000,13843915,1271437
1855000,1535829,1289281
1860000,13661470,1298442
1865000,12596566,1278883
1870000,37260372,1283580
1875000,12669480,2041285
1880000,732395,2079570
1885000,2351474,2110254
1890000,837576,2099555
1895000,15161397,2047407
1900000,593045,2036605
1905000,640972,2065825
1910000,21568458,2110344
1915000,588679,2111125
1920000,1380159,2067934
1925000,13734659,2158225
1930000,12784627,2024275
1935000,31251667,1998006
1940000,13081881,2035255
1945000,13161606,2042019
1950000,13411927,2133168
1955000,13371515,2049448
1960000,16563743,2070316
1965000,29263285,2045205
1970000,12818005,2027868
1975000,571214,2110607
1980000,556218,2057062
1985000,556859,2025789
1990000,485580,2112012
1995000,690875,2147615
2000000,12920033,2105764
2005000,12888075,1322659
2010000,494999,1288187
2015000,217888343,1310477
2020000,719731,1310383
2025000,34541392,1297118
2030000,575129,1298986
2035000,583640,1274485
2040000,558779,1276601
2045000,278462115,1255712
2050000,12111297,1312035
2055000,13089593,1273298
2060000,13452769,1253601
2065000,13417686,1332517
2070000,644777,1312935
2075000,613731,1300726
2080000,10890496,1265061
2085000,538855,1305859
2090000,600143,1316183
2095000,12862529,1278429
2100000,13421975,1252996
2105000,577438,1276862
2110000,34918388,1296919
2115000,12397202,1306958
2120000,11498512,1259115
2125000,784057,1305412
2130000,550549,1246642
2135000,6617076,1276830
2140000,12472692,1301801
2145000,13566277,1289504
2150000,543914,1307859
2155000,646906,1279920
2160000,12905006,1286472
2165000,12035525,1251605
2170000,12730232,1335796
2175000,33490862,1275011
2180000,402534682,1305135
2185000,13153204,1319154
2190000,680367,1312938
2195000,13570034,1331896
2200000,13347265,1271361
2205000,14279257,1281940
2210000,319845452,1299348
2215000,13641717,1259213
2220000,640301,1275516
2225000,13576890,1326644
2230000,14305150,1299212
2235000,13646123,1329943
2240000,12757514,1275762
2245000,521315,1309292
2250000,13264895,1306012
2255000,12726519,1255615
2260000,12559655,1283298
2265000,31444396,1277082
2270000,751118,1276248
2275000,13500447,1308491
2280000,610021,1268444
2285000,12802041,1284994
2290000,11298170,1285459
2295000,11130559,1292637
2300000,506533,1301291
2305000,798233760,1309439
2310000,12549113,1274950
2315000,11932101,1285249
2320000,12547798,1287276
2325000,10578874,1304142
2330000,9941584,1290023
2335000,10293313,1256410
2340000,11857083,1262776
2345000,11470699,1263910
2350000,12628728,1270140
2355000,523344,1296036
