Size,Time,Instructions
1580000,2506375,14727
1585000,1823375,14050
1590000,1621458,13983
1595000,1397792,13406
1600000,227875,11225
1605000,1316500,12805
1610000,1489792,14442
1615000,2428209,15241
1620000,1584709,14618
1625000,1786167,14584
1630000,1801916,14068
1635000,459625,14605
1640000,1421500,14063
1645000,1013333,11904
1650000,879750,10721
1655000,1350667,14695
1660000,1409833,15194
1665000,652041,10645
1670000,1094000,10123
1675000,1914084,14623
1680000,2601500,14012
1685000,71849125,14613
1690000,2559708,15194
1695000,1937458,10624
1700000,2433375,15291
1705000,1751541,12908
1710000,1620583,13996
1715000,1608083,9993
1720000,2184084,13246
1725000,2508000,14541
1730000,1787334,11243
1735000,2298958,14580
1740000,2452125,14625
1745000,6447625,14559
1750000,1042833,11281
1755000,2812542,10767
1760000,1977375,11382
1765000,1594208,13385
1770000,2637417,13952
1775000,3112042,15185
1780000,2069083,14786
1785000,2954500,15181
1790000,2384333,11840
1795000,3357875,15237
1800000,1555083,12842
1805000,1871958,14213
1810000,1876042,11343
1815000,15926083,13667
1820000,1748375,10852
1825000,2226708,13659
1830000,449291,10149
1835000,2559458,14761
1840000,2056375,11504
1845000,2142666,15321
1850000,546667,10372
1855000,4594167,13548
1860000,256792,14749
1865000,254042,10834
1870000,1625917,13537
1875000,1343125,10638
1880000,1403625,14513
1885000,263750,10221
1890000,260083,14071
1895000,269708,14634
1900000,270291,10128
1905000,243208,14041
1910000,1673541,15199
1915000,865875,8061
1920000,1810333,14080
1925000,1586750,15249
1930000,1331542,14560
1935000,14758375,14821
1940000,354084,12185
1945000,300792,14088
1950000,2955625,14701
1955000,432500,14691
1960000,274625,14657
1965000,514792,10068
1970000,2863208,12198
1975000,2775875,14080
1980000,3811375,11285
1985000,2721792,14659
1990000,283625,12547
1995000,3385500,14542
2000000,3940709,15341
2005000,840583,14001
2010000,2642708,14063
2015000,923459,11415
2020000,1466375,12943
2025000,205333,14243
2030000,2557792,14550
2035000,3106792,12307
2040000,2127333,10814
2045000,2745208,14750
2050000,431833,14251
2055000,2422792,12286
2060000,270833,12897
2065000,279917,14097
2070000,274833,14106
2075000,289416,14665
2080000,3710666,14695
2085000,3364250,14756
2090000,727500,14724
2095000,1088041,14631
2100000,1447875,13932
2105000,1412334,14034
2110000,1442375,14770
2115000,2536667,11785
2120000,741750,14134
2125000,185324375,14706
2130000,2218265292,15098
2135000,2766625,15229
2140000,2487459,14151
2145000,2825458,14067
2150000,1452333,7510
2155000,265458,14699
2160000,1512834,10010
2165000,204250,14669
2170000,1556583,8524
2175000,3571125,14138
2180000,3818167,15144
2185000,3081292,13549
2190000,272375,13574
2195000,2696166,11335
2200000,1756750,10098
2205000,3402417,11410
2210000,3173750,15237
2215000,2616416,10850
2220000,3645416,14682
2225000,3472167,14812
2230000,3774333,15115
2235000,3955250,14660
2240000,2806584,11870
2245000,2772458,10784
2250000,3509583,15236
2255000,2675125,12227
2260000,3087042,13511
2265000,2366125,14685
2270000,894416,14728
2275000,324333,14502
2280000,300542,14690
2285000,335500,12168
2290000,860833,12888
2295000,276500,15055
2300000,286917,15270
2305000,4390167,14793
2310000,145691583,11239
2315000,1233209,4483
2320000,2660958,12724
2325000,450416,14685
2330000,347833,14664
2335000,1626208,11815
2340000,30082791,14012
2345000,2181667,15257
2350000,1182042,14209
2355000,1472250,13487
2360000,656834,11878
2365000,1487541,13970
2370000,1685834,14673
2375000,1359625,13949
2380000,1558917,14071
2385000,1615875,14100
2390000,1108667,9470
2395000,16708584,13940
2400000,2388583,14740
2405000,1685584,13402
2410000,1544541,14661
2415000,1366500,10713
2420000,1312417,13903
2425000,1936291,14800
2430000,1221125,15287
2435000,1492125,14790
2440000,1563167,15351
2445000,1435333,14067
2450000,1791292,11377
2455000,1501250,12733
2460000,2768083,14758
